time at capture,time at tracking,x,y,diameter,area
1503623487.511297,1503623487.587083,307,150,72.96298217773438,707.0
1503623487.648271,1503623487.715235,333,154,78.99502563476562,732.0
1503623487.73584,1503623487.815191,363,159,76.97484588623047,641.0
1503623487.835186,1503623487.881113,401,163,76.00395202636719,629.5
1503623487.902013,1503623487.947897,414,164,70.59822082519531,638.5
1503623487.96811,1503623488.014624,428,166,77.55154418945312,684.0
1503623488.035447,1503623488.114919,435,165,77.55154418945312,680.5
1503623488.135043,1503623488.179731,438,164,65.22429656982422,576.0
1503623488.200332,1503623488.244153,433,164,68.7095718383789,607.5
1503623488.265019,1503623488.345032,416,159,75.7032470703125,699.0
1503623488.365539,1503623488.41344,360,145,77.40776824951172,671.5
1503623488.433698,1503623488.473726,337,143,64.5293197631836,534.0
1503623488.495532,1503623488.575883,309,140,51.7978401184082,397.5
1503623488.596259,1503623488.642129,262,136,48.715843200683594,389.0
1503623488.662512,1503623488.708578,239,134,39.47736358642578,344.0
1503623488.728877,1503623488.775168,215,132,48.48664093017578,395.5
1503623488.796924,1503623488.866509,193,131,42.54286575317383,320.5
1503623488.887403,1503623488.93305,156,131,41.251468658447266,287.5
1503623488.953056,1503623488.999406,142,132,41.251468658447266,251.0
1503623489.01962,1503623489.100307,131,132,34.130165100097656,199.5
1503623489.121167,1503623489.164775,121,135,38.23506546020508,223.5
1503623489.185217,1503623489.233188,119,134,41.315711975097656,252.5
1503623489.254208,1503623489.301614,123,134,36.10880661010742,255.0
1503623489.322534,1503623489.400216,133,134,44.58841323852539,300.0
1503623489.421292,1503623489.467026,163,132,45.88993835449219,358.5
1503623489.488117,1503623489.533616,183,131,40.64260482788086,331.0
1503623489.555857,1503623489.624255,207,130,56.883609771728516,406.5
1503623489.644886,1503623489.692882,258,126,63.66866683959961,498.0
1503623489.713004,1503623489.759874,280,123,71.72380065917969,570.0
1503623489.780831,1503623489.859598,304,121,67.51805114746094,619.5
1503623489.879692,1503623489.926347,345,121,62.21916198730469,566.0
1503623489.946645,1503623489.992658,365,121,64.1666030883789,574.5
1503623490.014045,1503623490.05875,381,122,68.47756958007812,561.0
1503623490.079348,1503623490.160235,399,124,63.19198989868164,544.0
1503623490.180213,1503623490.226517,425,129,64.2657241821289,599.0
1503623490.246707,1503623490.292741,437,132,65.43540954589844,610.0
1503623490.314261,1503623490.384444,445,135,67.42371368408203,715.0
1503623490.406029,1503623490.451476,461,142,66.83104705810547,664.5
1503623490.474672,1503623490.520497,463,145,67.70634460449219,694.5
1503623490.54204,1503623490.585466,460,146,67.83940124511719,623.5
1503623490.608826,1503623490.687388,451,145,59.713356018066406,465.5
1503623490.709602,1503623490.753494,425,142,49.5257568359375,432.5
1503623490.777047,1503623490.819949,401,137,57.0233154296875,492.5
1503623490.843616,1503623490.916138,375,132,54.13137435913086,533.5
1503623490.938922,1503623490.981623,325,123,53.480709075927734,495.5
1503623491.003464,1503623491.046617,302,121,52.489593505859375,465.5
1503623491.06876,1503623491.148485,277,118,49.82475280761719,422.0
1503623491.170212,1503623491.214553,236,117,42.6797981262207,374.5
1503623491.237515,1503623491.28149,218,119,39.35624313354492,344.0
1503623491.303288,1503623491.347459,201,121,41.315711975097656,333.5
1503623491.370338,1503623491.439439,185,122,36.41600036621094,306.0
1503623491.460369,1503623491.506946,151,124,35.23141860961914,261.0
1503623491.527851,1503623491.573337,136,125,32.97608947753906,175.0
1503623491.594773,1503623491.672766,127,127,25.480792999267578,147.5
1503623491.693487,1503623491.73822,115,129,28.01902961730957,180.5
1503623491.759177,1503623491.807314,107,129,27.483827590942383,164.5
1503623491.828052,1503623491.871164,106,130,29.494712829589844,160.0
1503623491.893443,1503623491.978569,106,131,21.233993530273438,128.0
1503623492.000991,1503623492.045972,132,129,34.62393569946289,265.0
1503623492.069967,1503623492.111543,148,126,38.82704162597656,266.5
1503623492.139443,1503623492.208465,169,126,46.0629997253418,385.5
1503623492.231522,1503623492.266077,219,129,40.81192398071289,369.5
1503623492.290271,1503623492.332324,245,136,44.46928787231445,400.0
1503623492.354086,1503623492.400722,266,141,52.155033111572266,445.0
1503623492.424852,1503623492.506097,290,147,53.96452713012695,479.5
1503623492.52719,1503623492.561752,329,157,54.754940032958984,449.5
1503623492.583515,1503623492.63169,347,161,59.606658935546875,498.0
1503623492.655639,1503623492.727861,365,162,57.20906066894531,432.5
1503623492.749875,1503623492.794388,401,167,71.731201171875,535.0
1503623492.816092,1503623492.864083,418,170,65.8233642578125,493.0
1503623492.886454,1503623492.961271,432,175,62.35541915893555,449.5
1503623492.983944,1503623493.028638,440,178,55.09296417236328,415.0
1503623493.052742,1503623493.093077,439,177,61.2914924621582,446.5
1503623493.1161,1503623493.160299,435,175,57.38496017456055,438.0
1503623493.183575,1503623493.260196,430,173,62.88907241821289,468.5
1503623493.28288,1503623493.327522,399,160,65.05328369140625,512.0
1503623493.349503,1503623493.395014,379,154,57.57875061035156,509.5
1503623493.418531,1503623493.487174,357,150,46.90742492675781,367.5
1503623493.509175,1503623493.555968,309,141,48.48664093017578,379.0
1503623493.585885,1503623493.618398,285,137,44.719085693359375,354.0
1503623493.639275,1503623493.684549,258,134,45.249717712402344,374.5
1503623493.70658,1503623493.788155,231,132,46.90742492675781,345.0
1503623493.809751,1503623493.852372,188,133,45.249717712402344,347.0
1503623493.87356,1503623493.919025,169,134,39.261783599853516,275.5
1503623493.945621,1503623494.024544,155,136,28.01902961730957,208.5
1503623494.052811,1503623494.098697,130,141,32.733909606933594,240.0
1503623494.12541,1503623494.150596,118,144,28.282833099365234,161.0
1503623494.178912,1503623494.253846,110,147,26.259950637817383,124.0
1503623494.281193,1503623494.316509,101,151,26.481218338012695,123.5
1503623494.336724,1503623494.392029,99,153,28.488393783569336,135.0
1503623494.415299,1503623494.447989,97,153,27.483827590942383,151.5
1503623494.468776,1503623494.550498,99,152,28.113527297973633,166.0
1503623494.571047,1503623494.607607,122,144,32.97608947753906,209.0
1503623494.628587,1503623494.674072,139,139,38.60783004760742,251.5
1503623494.695871,1503623494.776205,155,134,46.0629997253418,341.5
1503623494.80065,1503623494.84195,194,126,37.308189392089844,299.5
1503623494.864217,1503623494.9078,216,125,58.791259765625,400.5
1503623494.93071,1503623494.972465,243,122,52.892276763916016,374.5
1503623494.994273,1503623495.070974,264,121,67.26617431640625,514.5
1503623495.092017,1503623495.138587,311,121,58.010128021240234,476.5
1503623495.158902,1503623495.204672,330,123,57.7627067565918,503.0
1503623495.227394,1503623495.303545,351,126,49.23572540283203,420.5
1503623495.325025,1503623495.369017,402,139,57.329471588134766,442.5
1503623495.391283,1503623495.437,424,147,55.70576858520508,467.0
1503623495.4677,1503623495.53444,440,154,60.83106994628906,507.5
1503623495.555557,1503623495.600733,462,165,69.43911743164062,575.0
1503623495.622049,1503623495.669301,467,169,70.31211853027344,530.5
1503623495.692214,1503623495.729283,469,172,66.57657623291016,534.5
1503623495.750032,1503623495.833357,465,170,56.227054595947266,460.0
1503623495.854591,1503623495.89736,450,160,59.106204986572266,437.0
1503623495.917888,1503623495.972673,436,150,37.872642517089844,305.0
1503623495.996671,1503623496.064653,411,139,55.09296417236328,471.0
1503623496.085265,1503623496.131658,358,118,49.92047882080078,451.5
1503623496.151746,1503623496.198532,332,112,77.0574951171875,549.5
1503623496.219202,1503623496.263132,319,108,57.24613571166992,455.0
1503623496.284329,1503623496.362958,287,106,42.54286575317383,353.5
1503623496.389531,1503623496.429411,231,111,46.714786529541016,360.0
1503623496.449966,1503623496.494531,203,117,47.925445556640625,392.5
1503623496.515093,1503623496.594977,184,125,50.56450271606445,349.5
1503623496.615568,1503623496.66081,151,145,49.82475280761719,337.0
1503623496.681228,1503623496.726668,136,155,41.251468658447266,310.0
1503623496.746881,1503623496.7918,128,163,39.13999938964844,234.5
1503623496.813471,1503623496.883299,121,168,38.12391662597656,211.0
1503623496.903917,1503623496.948828,112,168,36.10880661010742,209.0
1503623496.9704,1503623497.015998,116,164,42.01592254638672,259.0
1503623497.036411,1503623497.052502,119,157,39.261783599853516,272.0
1503623497.073924,1503623497.120049,131,149,44.48121643066406,299.0
1503623497.142877,1503623497.184039,143,140,54.19013977050781,383.5
1503623497.205189,1503623497.25236,157,129,57.329471588134766,402.0
1503623497.276065,1503623497.353788,174,120,39.6248893737793,336.5
1503623497.376721,1503623497.417632,224,111,58.74612808227539,429.0
1503623497.43884,1503623497.482702,248,109,49.96296310424805,417.5
1503623497.503853,1503623497.549588,268,111,46.47571563720703,453.5
1503623497.572766,1503623497.649914,293,117,58.56525802612305,488.5
1503623497.670583,1503623497.715195,343,142,68.85609436035156,484.0
1503623497.736555,1503623497.779852,363,158,46.120540618896484,322.0
1503623497.800839,1503623497.881357,390,182,73.4484634399414,490.5
1503623497.902404,1503623497.940327,433,219,44.23007583618164,334.5
1503623497.960481,1503623498.006153,429,226,57.38496017456055,402.5
1503623498.026655,1503623498.070858,434,226,57.20906066894531,390.5
1503623498.09239,1503623498.171536,423,214,52.449153900146484,363.5
1503623498.192348,1503623498.236878,390,183,56.19874572753906,431.0
1503623498.258311,1503623498.302815,367,166,58.156246185302734,501.0
1503623498.323507,1503623498.404386,348,154,55.97175598144531,457.0
1503623498.424806,1503623498.470084,311,138,44.46928787231445,396.5
1503623498.491563,1503623498.535188,291,134,48.96563720703125,403.0
1503623498.55577,1503623498.638191,269,130,48.80287551879883,308.5
1503623498.658425,1503623498.705419,230,137,42.242557525634766,264.0
1503623498.725774,1503623498.771655,213,147,58.45646667480469,310.0
1503623498.792196,1503623498.837632,184,156,51.314266204833984,303.0
1503623498.858564,1503623498.938569,173,167,33.88058090209961,229.5
1503623498.95867,1503623499.004654,162,173,27.036273956298828,172.5
1503623499.024774,1503623499.071393,164,173,33.88058090209961,212.5
1503623499.092494,1503623499.161947,161,171,34.85298538208008,195.5
1503623499.182985,1503623499.226666,160,173,35.2012939453125,228.0
1503623499.247234,1503623499.295991,160,174,32.91168212890625,204.5
1503623499.317757,1503623499.359033,163,174,33.5501823425293,230.0
1503623499.380132,1503623499.461534,167,174,45.366790771484375,259.0
1503623499.48264,1503623499.528692,179,171,34.85298538208008,221.5
1503623499.549858,1503623499.593788,178,171,38.456398010253906,222.5
1503623499.615319,1503623499.6957,180,170,46.0629997253418,262.0
1503623499.717422,1503623499.760359,188,168,34.85298538208008,193.0
1503623499.781721,1503623499.824768,188,170,35.39665222167969,168.5
1503623499.845646,1503623499.927354,188,170,7.283199787139893,24.0
1503623499.948517,1503623499.995064,188,170,0,24.0
1503623500.016721,1503623500.052415,188,170,12.011760711669922,48.5
1503623500.072705,1503623500.118846,188,170,0,48.5
1503623500.139352,1503623500.21946,188,170,0,48.5
1503623500.239533,1503623500.28542,188,170,0,48.5
1503623500.305452,1503623500.352053,188,170,0,48.5
1503623500.372476,1503623500.454432,188,170,0,48.5
1503623500.475918,1503623500.520458,188,170,0,48.5
1503623500.540638,1503623500.587085,188,170,0,48.5
1503623500.607381,1503623500.653658,188,170,0,48.5
1503623500.675782,1503623500.745646,188,170,0,48.5
1503623500.767362,1503623500.810076,188,170,0,48.5
1503623500.83189,1503623500.87701,188,170,0,48.5
1503623500.900766,1503623500.981213,188,170,0,48.5
1503623501.00227,1503623501.048296,188,170,0,48.5
1503623501.0691,1503623501.111082,188,170,0,48.5
1503623501.133476,1503623501.217133,188,170,0,48.5
1503623501.237889,1503623501.280003,188,170,0,48.5
1503623501.301947,1503623501.347267,188,170,0,48.5
1503623501.368068,1503623501.405171,188,170,0,48.5
1503623501.427004,1503623501.509177,188,170,0,48.5
1503623501.532513,1503623501.57733,188,170,0,48.5
1503623501.599028,1503623501.642397,188,170,0,48.5
1503623501.668372,1503623501.743362,188,170,0,48.5
1503623501.765293,1503623501.808889,188,170,0,48.5
1503623501.831598,1503623501.875731,188,170,0,48.5
1503623501.898311,1503623501.943176,188,170,0,48.5
1503623501.966062,1503623502.038251,188,170,0,48.5
1503623502.059966,1503623502.103322,188,170,0,48.5
1503623502.12532,1503623502.171022,188,170,0,48.5
1503623502.19458,1503623502.273136,188,170,0,48.5
1503623502.295761,1503623502.340785,188,170,0,48.5
1503623502.363885,1503623502.40299,188,170,0,48.5
1503623502.424769,1503623502.468459,188,170,0,48.5
1503623502.490207,1503623502.559804,188,170,0,48.5
1503623502.581727,1503623502.627225,188,170,0,48.5
1503623502.648454,1503623502.696068,188,170,0,48.5
1503623502.717135,1503623502.79318,188,170,0,48.5
1503623502.814435,1503623502.861609,188,170,0,48.5
1503623502.88243,1503623502.92597,188,170,0,48.5
1503623502.94774,1503623503.026943,188,170,0,48.5
1503623503.047781,1503623503.093025,188,170,0,48.5
1503623503.114118,1503623503.160365,188,170,0,48.5
1503623503.181318,1503623503.229073,188,170,0,48.5
1503623503.250099,1503623503.322386,188,170,0,48.5
1503623503.344917,1503623503.388507,188,170,0,48.5
1503623503.411383,1503623503.45323,188,170,0,48.5
1503623503.47765,1503623503.55523,188,170,0,48.5
1503623503.577643,1503623503.620929,188,170,0,48.5
1503623503.644173,1503623503.685206,188,170,0,48.5
1503623503.70751,1503623503.7518,188,170,0,48.5
1503623503.774014,1503623503.852753,188,170,0,48.5
1503623503.876721,1503623503.916453,188,170,0,48.5
1503623503.938083,1503623503.979718,188,170,0,48.5
1503623504.001751,1503623504.079274,188,170,0,48.5
1503623504.099979,1503623504.147038,188,170,0,48.5
1503623504.168842,1503623504.219621,188,170,0,48.5
1503623504.246333,1503623504.315774,188,170,0,48.5
1503623504.346224,1503623504.381207,188,170,0,48.5
1503623504.40854,1503623504.469975,188,170,0,48.5
1503623505.929361,1503623505.96353,188,170,0,48.5
1503623506.020245,1503623506.06008,188,170,0,48.5
